EXP	ALIGN	TF_UNIPROT_AC	TF_UNIPROT_ID	GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_ID	BAD_GROUP_NAME	ENCODE	GEO_GSE	IS_CONTROL
EXP000001	ALIGN033120	None	None	78	HeLa (cervical adenocarcinoma)	2267	HeLa__cervical_adenocarcinoma_@GSE14283	None	GSE14283	True
EXP000002	ALIGN033162	P14859	PO2F1_HUMAN	78	HeLa (cervical adenocarcinoma)	2267	HeLa__cervical_adenocarcinoma_@GSE14283	None	GSE14283	False
EXP000004	ALIGN034325	None	None	422	HeLa Kyoto (cervical adenocarcinoma)	2266	HeLa_Kyoto__cervical_adenocarcinoma_@GSE20303	None	GSE20303	True
EXP000005	ALIGN033161	Q8WUU5	GATD1_HUMAN	422	HeLa Kyoto (cervical adenocarcinoma)	2266	HeLa_Kyoto__cervical_adenocarcinoma_@GSE20303	None	GSE20303	False
EXP000026	ALIGN033192	Q92993	KAT5_HUMAN	881	CD4+ T-cells	2265	CD4+_T-cells@GSE15735	None	GSE15735	False
EXP000027	ALIGN034460	None	None	881	CD4+ T-cells	2265	CD4+_T-cells@GSE15735	None	GSE15735	True
EXP000028	ALIGN034458	None	None	881	CD4+ T-cells	2265	CD4+_T-cells@GSE15735	None	GSE15735	True
EXP000038	ALIGN034385	P48431	SOX2_HUMAN	376	H1 (embryonic stem cells)	2314	H1__embryonic_stem_cells_@GSE18292	None	GSE18292	False
EXP000039	ALIGN033197	Q9H9S0	NANOG_HUMAN	376	H1 (embryonic stem cells)	2314	H1__embryonic_stem_cells_@GSE18292	None	GSE18292	False
EXP000061	ALIGN033242	Q9GZV8	PRD14_HUMAN	878	embryonic stem cells	2264	embryonic_stem_cells@GSE22767	None	GSE22767	False
EXP000062	ALIGN033241	None	None	878	embryonic stem cells	2264	embryonic_stem_cells@GSE22767	None	GSE22767	True
EXP000063	ALIGN034423	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000064	ALIGN034426	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000065	ALIGN034427	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000066	ALIGN034424	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000067	ALIGN034425	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000068	ALIGN034428	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000069	ALIGN034429	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000070	ALIGN034337	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000071	ALIGN034336	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000072	ALIGN034339	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000073	ALIGN034338	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000074	ALIGN034286	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000075	ALIGN034340	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000076	ALIGN034342	Q04206	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000077	ALIGN034341	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000078	ALIGN034343	P04150	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	2298	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000080	ALIGN033118	P25490	TYY1_HUMAN	881	CD4+ T-cells	2263	CD4+_T-cells@GSE25674	None	GSE25674	False
EXP000081	ALIGN033119	None	None	881	CD4+ T-cells	2263	CD4+_T-cells@GSE25674	None	GSE25674	True
EXP000101	ALIGN034421	Q15797	SMAD1_HUMAN	472	HUVEC (umbilical vein endothelial cells)	2159	HUVEC__umbilical_vein_endothelial_cells_@GSE27634	None	GSE27634	False
EXP000102	ALIGN034422	Q15797	SMAD1_HUMAN	472	HUVEC (umbilical vein endothelial cells)	2159	HUVEC__umbilical_vein_endothelial_cells_@GSE27634	None	GSE27634	False
EXP000103	ALIGN033240	P28324	ELK4_HUMAN	421	HEK293 (embryonic kidney)	2262	HEK293__embryonic_kidney_@GSE27929	None	GSE27929	False
EXP000104	ALIGN033239	None	None	421	HEK293 (embryonic kidney)	2262	HEK293__embryonic_kidney_@GSE27929	None	GSE27929	True
EXP000105	ALIGN033238	None	None	514	K562 (myelogenous leukemia)	2261	K562__myelogenous_leukemia_@GSE28162	None	GSE28162	True
EXP000107	ALIGN034420	O75461	E2F6_HUMAN	514	K562 (myelogenous leukemia)	2261	K562__myelogenous_leukemia_@GSE28162	None	GSE28162	False
