EXP	ALIGN	TF_UNIPROT_AC	TF_UNIPROT_ID	GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_ID	BAD_GROUP_NAME	ENCODE	GEO_GSE	IS_CONTROL
EXP047521	ALIGNS052603	Q01860	PO5F1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2617	1__H1_ESCs_with_99__fibroblsat@GSE100639	None	GSE100639	False
EXP048175	ALIGNS053257	P52926	HMGA2_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2696	1__H1_ESCs_with_99__fibroblsat@GSE109091	None	GSE109091	False
EXP048504	ALIGNS053586	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048505	ALIGNS053587	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048506	ALIGNS053588	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048507	ALIGNS053589	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048508	ALIGNS053590	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048509	ALIGNS053591	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048510	ALIGNS053592	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048511	ALIGNS053593	Q9UHF7	TRPS1_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048518	ALIGNS065493	Q92769	HDAC2_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048519	ALIGNS065494	Q92769	HDAC2_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048520	ALIGNS065495	O94776	MTA2_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048521	ALIGNS065496	O94776	MTA2_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048522	ALIGNS053604	Q86YP4	P66A_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048523	ALIGNS053605	Q86YP4	P66A_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048524	ALIGNS053606	Q86YP4	P66A_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048525	ALIGNS053607	Q86YP4	P66A_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048526	ALIGNS053608	Q8WXI9	P66B_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048527	ALIGNS053609	Q8WXI9	P66B_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048528	ALIGNS053610	Q8WXI9	P66B_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP048529	ALIGNS053611	Q8WXI9	P66B_HUMAN	2222	1% H1 ESCs with 99% fibroblsat	2739	1__H1_ESCs_with_99__fibroblsat@GSE114597	None	GSE114597	False
EXP055259	ALIGNS059835	O60885	BRD4_HUMAN	2697	1015 (MNC, Grayson et al. 2014)	3405	1015__MNC__Grayson_et_al__2014_@GSE70870	None	GSE70870	False
EXP055260	ALIGNS059836	O60885	BRD4_HUMAN	2697	1015 (MNC, Grayson et al. 2014)	3405	1015__MNC__Grayson_et_al__2014_@GSE70870	None	GSE70870	False
EXP055262	ALIGNS059838	O60885	BRD4_HUMAN	2699	10326 (NMC, French et al. 2008)	3407	10326__NMC__French_et_al__2008_@GSE70870	None	GSE70870	False
EXP061036	ALIGNS067024	O14497	ARI1A_HUMAN	4290	12Z (endometriotic epithelial cells)	3813	12Z__endometriotic_epithelial_cells_@GSE129781	None	GSE129781	False
EXP061142	ALIGNS067130	Q9NYV4	CDK12_HUMAN	4296	143B (Osteosarcoma)	3831	143B__Osteosarcoma_@GSE132233	None	GSE132233	False
EXP061143	ALIGNS067131	Q9NYV4	CDK12_HUMAN	4296	143B (Osteosarcoma)	3831	143B__Osteosarcoma_@GSE132233	None	GSE132233	False
EXP062654	ALIGNS068644	P48431	SOX2_HUMAN	4502	2102EP (Embryonal carcinoma)	3910	2102EP__Embryonal_carcinoma_@GSE130519	None	GSE130519	False
