EXP	ALIGN	TF_UNIPROT_AC	TF_UNIPROT_ID	GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_ID	BAD_GROUP_NAME	ENCODE	GEO_GSE	IS_CONTROL
EXP000002	ALIGNS033162	1	PO2F1_HUMAN	78	HeLa (cervical adenocarcinoma)	1	HeLa__cervical_adenocarcinoma_@GSE14283	None	GSE14283	False
EXP000005	ALIGNS033161	2	GATD1_HUMAN	422	HeLa Kyoto (cervical adenocarcinoma)	2	HeLa_Kyoto__cervical_adenocarcinoma_@GSE20303	None	GSE20303	False
EXP000026	ALIGNS033192	3	KAT5_HUMAN	881	CD4+ T-cells	3	CD4+_T-cells@GSE15735	None	GSE15735	False
EXP000029	ALIGNS033277	3	KAT5_HUMAN	881	CD4+ T-cells	3	CD4+_T-cells@GSE15735	None	GSE15735	False
EXP000038	ALIGNS034385	4	SOX2_HUMAN	376	WA01 (H1, human embryonic stem cells)	4	WA01__H1__human_embryonic_stem_cells_@GSE18292	None	GSE18292	False
EXP000039	ALIGNS033197	5	NANOG_HUMAN	376	WA01 (H1, human embryonic stem cells)	4	WA01__H1__human_embryonic_stem_cells_@GSE18292	None	GSE18292	False
EXP000061	ALIGNS033242	7	PRD14_HUMAN	878	embryonic stem cells	6	embryonic_stem_cells@GSE22767	None	GSE22767	False
EXP000063	ALIGNS034423	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000064	ALIGNS034426	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000065	ALIGNS034427	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000066	ALIGNS034424	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000067	ALIGNS034425	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000068	ALIGNS034428	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000069	ALIGNS034429	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000070	ALIGNS034337	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000071	ALIGNS034336	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000072	ALIGNS034339	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000073	ALIGNS034338	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000074	ALIGNS034286	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000075	ALIGNS034340	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000076	ALIGNS034342	9	TF65_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000077	ALIGNS034341	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000078	ALIGNS034343	8	GCR_HUMAN	78	HeLa (cervical adenocarcinoma)	7	HeLa__cervical_adenocarcinoma_@GSE24518	None	GSE24518	False
EXP000080	ALIGNS033118	10	TYY1_HUMAN	881	CD4+ T-cells	8	CD4+_T-cells@GSE25674	None	GSE25674	False
EXP000101	ALIGNS034421	11	SMAD1_HUMAN	472	HUVEC-C (HUVEC, umbilical vein endothelial cells)	9	HUVEC-C__HUVEC__umbilical_vein_endothelial_cells_@GSE27634	None	GSE27634	False
EXP000102	ALIGNS034422	11	SMAD1_HUMAN	472	HUVEC-C (HUVEC, umbilical vein endothelial cells)	9	HUVEC-C__HUVEC__umbilical_vein_endothelial_cells_@GSE27634	None	GSE27634	False
EXP000103	ALIGNS033240	12	ELK4_HUMAN	421	HEK293 (embryonic kidney)	10	HEK293__embryonic_kidney_@GSE27929	None	GSE27929	False
EXP000107	ALIGNS034420	13	E2F6_HUMAN	514	K562 (myelogenous leukemia)	11	K562__myelogenous_leukemia_@GSE28162	None	GSE28162	False
EXP000128	ALIGNS033167	14	FLI1_HUMAN	290	EWS502 (Ewing sarcoma)	12	EWS502__Ewing_sarcoma_@GSE31838	None	GSE31838	False
EXP000132	ALIGNS033198	14	FLI1_HUMAN	472	HUVEC-C (HUVEC, umbilical vein endothelial cells)	13	HUVEC-C__HUVEC__umbilical_vein_endothelial_cells_@GSE31838	None	GSE31838	False
EXP000134	ALIGNS033194	15	VDR_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000135	ALIGNS033286	15	VDR_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000136	ALIGNS033195	16	RXRA_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000137	ALIGNS033196	16	RXRA_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000140	ALIGNS033213	17	TF7L2_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000141	ALIGNS033212	17	TF7L2_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000142	ALIGNS033215	18	CEBPB_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000143	ALIGNS033214	18	CEBPB_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000144	ALIGNS033217	19	CDX2_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000145	ALIGNS033216	19	CDX2_HUMAN	557	LS180 (colon cancer)	14	LS180__colon_cancer_@GSE31939	None	GSE31939	False
EXP000149	ALIGNS033218	20	SP1_HUMAN	417	HCT-116 (colon carcinoma)	15	HCT-116__colon_carcinoma_@GSE34791	None	GSE34791	False
EXP000177	ALIGNS034283	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	17	MCF7__Invasive_ductal_breast_carcinoma_@GSE19013	None	GSE19013	False
EXP000178	ALIGNS034291	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	17	MCF7__Invasive_ductal_breast_carcinoma_@GSE19013	None	GSE19013	False
EXP000190	ALIGNS033263	22	PO5F1_HUMAN	376	WA01 (H1, human embryonic stem cells)	18	WA01__H1__human_embryonic_stem_cells_@GSE20650	None	GSE20650	False
EXP000191	ALIGNS033264	5	NANOG_HUMAN	376	WA01 (H1, human embryonic stem cells)	18	WA01__H1__human_embryonic_stem_cells_@GSE20650	None	GSE20650	False
EXP000192	ALIGNS033261	23	CTCF_HUMAN	376	WA01 (H1, human embryonic stem cells)	18	WA01__H1__human_embryonic_stem_cells_@GSE20650	None	GSE20650	False
EXP000196	ALIGNS033258	24	ZN711_HUMAN	664	SH-SY5Y (neuroblastoma)	19	SH-SY5Y__neuroblastoma_@GSE20673	None	GSE20673	False
EXP000200	ALIGNS034254	25	AP2C_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	20	MCF7__Invasive_ductal_breast_carcinoma_@GSE21234	None	GSE21234	False
EXP000202	ALIGNS034252	26	E2F4_HUMAN	335	GM06990 (female B-cells)	21	GM06990__female_B-cells_@GSE21488	None	GSE21488	False
EXP000204	ALIGNS034250	27	ESR2_HUMAN	848	U2OS (osteosarcoma)	22	U2OS__osteosarcoma_@GSE21770	None	GSE21770	False
EXP000205	ALIGNS034251	27	ESR2_HUMAN	848	U2OS (osteosarcoma)	22	U2OS__osteosarcoma_@GSE21770	None	GSE21770	False
EXP000209	ALIGNS033257	22	PO5F1_HUMAN	396	WA09 (embryonic stem cells)	23	WA09__embryonic_stem_cells_@GSE21916	None	GSE21916	False
EXP000220	ALIGNS034311	28	ETV1_HUMAN	331	GIST48 (gastrointestinal stromal tumor)	24	GIST48__gastrointestinal_stromal_tumor_@GSE22441	None	GSE22441	False
EXP000222	ALIGNS033154	4	SOX2_HUMAN	552	LN229 (glioblastoma)	25	LN229__glioblastoma_@GSE23795	None	GSE23795	False
EXP000224	ALIGNS034310	29	GABPA_HUMAN	165	CD34+CD133+ hematopoietic progenitors	26	CD34+CD133+_hematopoietic_progenitors@GSE24933	None	GSE24933	False
EXP000226	ALIGNS033150	30	TAL1_HUMAN	509	Jurkat (T-cells)	27	Jurkat__T-cells_@GSE25000	None	GSE25000	False
EXP000227	ALIGNS033151	30	TAL1_HUMAN	743	proerythroblasts	28	proerythroblasts@GSE25000	None	GSE25000	False
EXP000231	ALIGNS034257	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	29	MCF7__Invasive_ductal_breast_carcinoma_@GSE26083	None	GSE26083	False
EXP000232	ALIGNS034256	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	29	MCF7__Invasive_ductal_breast_carcinoma_@GSE26083	None	GSE26083	False
EXP000233	ALIGNS034255	31	BCL6_HUMAN	512	JURL-MK1 (chronic myelogenous leukemia)	30	JURL-MK1__chronic_myelogenous_leukemia_@GSE26085	None	GSE26085	False
EXP000241	ALIGNS033146	15	VDR_HUMAN	2334	THP-1 (acute monocytic leukemia)	31	THP-1__acute_monocytic_leukemia_@GSE27437	None	GSE27437	False
EXP000242	ALIGNS033145	15	VDR_HUMAN	2334	THP-1 (acute monocytic leukemia)	31	THP-1__acute_monocytic_leukemia_@GSE27437	None	GSE27437	False
EXP000262	ALIGNS034294	35	SMAD5_HUMAN	470	pulmonary arterial smooth muscle cells	33	pulmonary_arterial_smooth_muscle_cells@GSE28848	None	GSE28848	False
EXP000276	ALIGNS034237	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	35	MCF7__Invasive_ductal_breast_carcinoma_@GSE33804	None	GSE33804	False
EXP000278	ALIGNS033054	36	DUX4_HUMAN	467	myoblasts	36	myoblasts@GSE33838	None	GSE33838	False
EXP000280	ALIGNS034266	37	RUNX2_HUMAN	129	LNCaP C4-2B (prostate carcinoma)	37	LNCaP_C4-2B__prostate_carcinoma_@GSE33889	None	GSE33889	False
EXP000287	ALIGNS034265	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	38	MCF7__Invasive_ductal_breast_carcinoma_@GSE14664	None	GSE14664	False
